chart_position,base_points__inverted_chart_position,song_title,words_in_title,artist,country,last_week_position,peak_position,weeks_on_chart,key_center,song_duration,bpm,genre,release_date,chart_date,release-to-chart-days,impact_score__base_score_times_weeks_on_chart
1,50,Wassup Gwayy,2,FamousSally & YB,United States,-,1,1,D,2:24,153,Hip-hop/rap,2023-06-15,2023-09-23,100,50
2,49,SkeeYee,1,Sexyy Red,United States,1,1,2,F,2:37,83,Hip-hop/rap,2023-06-09,2023-09-23,106,98
3,48,Paint The Town Red,4,Doja Cat,United States, ,2,2,F,3:52,100,Rap,2023-08-04,2023-09-23,50,96
4,47,Epiphany (I'm Leaving),3,Chrisette Michele,United States,33,4,2,C,3:29,163,R&B/soul,2009-01-01,2023-09-23,5378,94
5,46,I LOVE YOU HOE,4,Odetari & 9lives,United States,7,5,2,C¼♯,2:07,152,Dance,2023-07-12,2023-09-23,73,92
6,45,I Remember Everything,3,Zach Bryan (feat. Kacey Musgraves),United States,5,5,2,C,3:47,78,Country,2023-08-25,2023-09-23,29,90
7,44,Deli,1,Ice Spice,United States,6,6,2,B♭,2:07,140,Hip-hop/rap,2023-01-20,2023-09-23,246,88
8,43,Wop,1,J. Dash,United States,17,8,2,B,3:51,112,Hip-hop/rap,2010-12-16,2023-09-23,4664,86
9,42,I'll Be Around,3,Cee-Lo (feat. Timbaland),United States,42,9,2,B♭,3:41,93,Hip-hop/rap,2004-03-02,2023-09-23,7144,84
10,41,Hey Daddy (Daddy's Home),4,Usher (feat. Plies),United States,-,10,1,B,3:44,96,R&B/soul,2009-12-11,2023-09-23,5034,41
11,40,Bongos,1,Cardi B & Megan Thee Stallion,United States,-,11,1,C,2:55,122,Hip-hop/rap,2023-09-07,2023-09-23,16,40
12,39,I'm Blessed,2,Charlie Wilson (feat. T.I.),United States,9,9,2,A♭,3:29,80,R&B/soul,2017-02-17,2023-09-23,2409,78
13,38,It's Getting Hot,3,NLE Choppa,United States,8,8,2,E,2:14,106,Hip-hop/rap,2023-07-27,2023-09-23,58,76
14,37,Banana Shake (Sped Up),4,HUS,South Korea,-,14,1,B¼♭,4:40,143,Electronic,2023-02-16,2023-09-23,219,37
15,36,august,1,Taylor Swift,United States,3,3,2,F,4:22,90,Alternative,2020-07-24,2023-09-23,1156,72
16,35,Fine Line,2,Harry Styles,United Kingdom,-,16,1,D,6:18,121,Pop,2019-12-13,2023-09-23,1380,35
17,34,What Was I Made For?,5,Billie Eilish,United States,24,17,2,C,3:42,78,Alternative,2023-07-13,2023-09-23,72,68
18,33,Let It Whip,3,Dazz Band,United States,10,10,2,A,4:47,132,R&B/soul,2001-01-01,2023-09-23,8300,66
19,32,Looking For The Hoes (Ain't My Fault),7,Sexyy Red,United States,19,19,2,E♭,2:11,151,Hip-hop/rap,2023-06-09,2023-09-23,106,64
20,31,Jacob And The Stone,4,Emile Mosseri,United States,28,20,2,C♯,1:39,84,Soundtrack,2021-02-12,2023-09-23,953,62
21,30,Peaches & Eggplants,3,Young Nudy (feat. 21 Savage),United States,16,16,2,F♯,3:24,146,Rap,2023-02-28,2023-09-23,207,60
22,29,Gorgeous,1,"Tee Grizzley, City Girls & Skilla Baby",United States,23,22,2,D,3:34,94,Hip-hop/rap,2023-07-28,2023-09-23,57,58
23,28,fukumean,1,Gunna,United States,22,22,2,C♯,2:05,130,Hip-hop/rap,2023-06-16,2023-09-23,99,56
24,27,Cruel Summer,2,Taylor Swift,United States,11,11,2,A,2:58,170,Pop,2019-08-23,2023-09-23,1492,54
25,26,Flex Up,2,"Lil Yachty, Future & Playboi Carti",United States,-,25,1,D,2:51,160,Hip-hop/rap,2020-05-29,2023-09-23,1212,26
26,25,all-american bitch,2,Olivia Rodrigo,United States,-,26,1,F♯,2:46,156,Pop,2023-09-08,2023-09-23,15,25
27,24,Foolish,1,Ashanti,United States,-,27,1,C,3:47,90,Hip-hop/rap,2002-04-02,2023-09-23,7844,24
28,23,Quarter Life Crisis,3,Taylor Bickett,United States,-,28,1,F,3:18,118,Pop,2022-10-14,2023-09-23,344,23
29,22,Darkest Before Dawn,3,BashfortheWorld,United States,-,29,1,E,3:56,122,Hip-hop/rap,2020-07-10,2023-09-23,1170,22
30,21,Marvins Room,2,Drake,Canada,18,18,2,C,5:47,112,Hip-hop/rap,2011-11-15,2023-09-23,4330,42
31,20,Bent,1,"41, Kyle Richh, Jenn Carter (feat. TaTa)",United States,32,31,2,D,2:50,124,Hip-hop/rap,2023-08-04,2023-09-23,50,40
32,19,Anti-Hero,1,Taylor Swift,United States,21,21,2,E,3:21,97,Pop,2022-10-21,2023-09-23,337,38
33,18,Need 2,2,Pinegrove,United States,34,33,2,E,3:12,77,Alternative,2023-06-15,2023-09-23,100,36
34,17,Holy Roller,2,Zach Bryan (feat. Sierra Ferrell),United States,15,15,2,E,3:36,81,Country,2023-08-25,2023-09-23,29,34
35,16,cardigan,1,Taylor Swift,United States,26,26,2,E♭,4:00,130,Alternative,2020-07-24,2023-09-23,1156,32
36,15,Shes Buff,2,Beatdemons & Ssj9k,United States,-,36,1,B¼♯,3:01,181,Dance,2022-04-23,2023-09-23,518,15
37,14,Tumblr Girls,2,G-Eazy (feat. Christoph Andersson),United States,-,37,1,A♭,4:16,122,Hip-hop/rap,2014-06-23,2023-09-23,3379,14
38,13,ballad of a homeschooled girl,5,Olivia Rodrigo,United States,-,38,1,A♭,3:23,120,Pop,2023-09-08,2023-09-23,15,13
39,12,coffee,1,Miguel,United States,-,39,1,F♯,4:47,81,R&B/soul,2015-06-26,2023-09-23,3011,12
40,11,Wildest Dreams (Taylor's Version),4,Taylor Swift,United States,13,13,2,A♭,3:40,140,Pop,2021-09-17,2023-09-23,736,22
41,10,mirrorball,1,Taylor Swift,United States,-,41,1,D,3:29,110,Alternative,2020-07-24,2023-09-23,1156,10
42,9,Just A Girl,3,No Doubt,United States,-,42,1,D,3:29,108,Pop,1995-10-10,2023-09-23,10210,9
43,8,Bejeweled,1,Taylor Swift,United States,25,25,2,C,3:14,82,Pop,2022-10-21,2023-09-23,337,16
44,7,My Collection,2,Future,United States,-,44,1,E,4:16,80,Hip-hop/rap,2017-02-24,2023-09-23,2402,7
45,6,Beautiful,1,Bazzi (feat. Camila Cabello),United States,49,45,2,D,3:00,100,Pop,2018-08-02,2023-09-23,1878,12
46,5,Lil Boo Thang,3,Paul Russell,United States,-,46,1,C,1:54,114,Pop,2023-08-18,2023-09-23,36,5
47,4,Face Down,2,"MCVERTT, Sexyy Red & Ferg",United States,27,27,2,C,2:55,155,Dance,2023-07-28,2023-09-23,57,8
48,3,Maybe I Deserve,3,Tank,United States,-,48,1,F♯,4:49,94,R&B/soul,2001-03-13,2023-09-23,8229,3
49,2,Let the Light In,4,Lana Del Rey (feat. Father John Misty),United States,-,49,1,A,4:38,66,Alternative,2023-03-24,2023-09-23,183,2
50,1,Tired,1,Kelly Price,United States,39,39,2,F,3:42,122,R&B/soul,2011-05-03,2023-09-23,4526,2
